"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168835402&doi=10.3348%2fkjr.2023.0738&partnerID=40&md5=3f6ea58ff25a88b3ad43393fbfbab998","Authorship; ChatGPT; Ethics; Large language model; Scientific writing","Artificial Intelligence; Humans; Policy; Publications; artificial intelligence; human; policy; publication"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163557911&doi=10.1016%2fj.xops.2023.100324&partnerID=40&md5=35b88d52174cc6588e212cc6387648c9","Artificial intelligence; ChatGPT; Generative Pretrained Transformer; Medical education; Ophthalmology","accreditation; Article; artificial intelligence; cognition; eye disease; general practice; logistic regression analysis; measurement accuracy; measurement repeatability; neuroophthalmology; ophthalmology; post hoc analysis"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164275897&doi=10.1007%2fs10916-023-01974-9&partnerID=40&md5=d3c898eb4d2b849d649c101549753915","","Artificial Intelligence; Humans; Physicians; Psychiatry; Touch; artificial intelligence; clinical practice; emotion; human; human relation; medical literature; mental disease; Note; psychiatrist; psychiatry; artificial intelligence; physician; psychiatry; touch"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168386881&doi=10.1016%2fj.jormas.2023.101456&partnerID=40&md5=18aa68bc69989fa61bb21cd7e5d40788","Artificial intelligence; ChatGPT; Medical research; Medical scientific articles","article; artificial intelligence; human; human experiment; medical research; writing"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161571511&doi=10.1016%2fj.jaad.2023.05.024&partnerID=40&md5=2860ac7f9cc26a4b766dd37618aa1655","artificial intelligence; ChatGPT; language learning model; melanoma","Humans; Melanoma; Syndrome; Article; artificial intelligence; chatgpt; clinical practice; human; information dissemination; interpersonal communication; melanoma; physician; reading; treatment response; melanoma; syndrome"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85156119056&doi=10.1186%2fs13643-023-02243-z&partnerID=40&md5=0b98fb16eca908e8515c427e89e34b91","Artificial intelligence; Large language models; Methodology; Systematic review","Artificial Intelligence; Automation; Humans; Language; Self-Help Devices; Technology; artificial intelligence; assistive technology; attention; automation; human; human experiment; infancy; language; note; systematic review; webinar; automation; language; technology"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166012922&doi=10.1016%2fj.psychres.2023.115351&partnerID=40&md5=e7f09756e9fe288ecb4356cb417cb3a6","","age; artificial intelligence; autism; Autism Behavior Checklist; ChatGPT software; clinical practice; decision making; developmental delay; developmental language disorder; diagnostic accuracy; diagnostic error; diagnostic imaging; differential diagnosis; Early Language Milestone Scale; family history; gender; Gesell Developmental Scale; growth; health care planning; human; language; Letter; machine; medical history; medical record; mental disease; mental health; Modified Checklist for Autism in Toddlers; overdiagnosis; pediatrician; scoring system; software; vignette; work experience"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166335301&doi=10.1016%2fj.ssci.2023.106244&partnerID=40&md5=6c10e7da1400587695e2f9f1d335ccb8","Artificial intelligence; Chatbot; Human-AI interaction; Responsible risk management; Risk communication; Safety science","Artificial intelligence; Ethical technology; Job satisfaction; Safety engineering; Water pollution; Chatbots; Customer-service; Human language; Human-AI interaction; Language model; Responsible risk management; Risk communication; Risks management; Safety science; Safety-Related; air pollution; Article; artificial intelligence; car driving; falling; information processing; low income country; middle income country; occupational safety; professional burnout; risk factor; risk management; Risk management"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165417126&doi=10.1016%2fj.jbspin.2023.105610&partnerID=40&md5=33b17e69b375283e519e60b4a4d6de8b","Artificial intelligence; Plagiarism","artificial intelligence; clinical decision making; comparative study; controlled study; drug development; Editorial; electric potential; Food and Drug Administration; health care cost; health care industry; health care personnel; health care system; human; reinforcement learning (machine learning); self care; self concept; stereotypy"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167759240&doi=10.1097%2fSAP.0000000000003653&partnerID=40&md5=eef8d88776e086abdc04c27171bfbd6e","artificial intelligence; interview; plastic surgery residency; technology",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164098090&doi=10.1016%2fj.sipas.2023.100185&partnerID=40&md5=b44361dcef44fc07e7be743905ce584e","Artificial intelligence; Case report; ChatGPT; Hernia repair; Research; Surgical education","article; artificial intelligence; case report; clinical article; clinical research; friend; hernioplasty; human; medical literature; medical student; natural language processing; practice guideline; surgical training"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161020540&doi=10.1007%2fs40979-023-00131-6&partnerID=40&md5=de35007105d128109974a9ad05a1763f","Academic integrity; Artificial intelligence; ChatGPT; Digital watermarking; Generative AI; Text generation",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166699785&doi=10.1016%2fj.hansur.2023.06.005&partnerID=40&md5=b8f467100d5fd6e874086ac02aa87c1e","","Educational Measurement; Hand; Humans; comparative study; Europe; hand surgery; human; Letter; licensing; medical education; medical examination; primary medical care; publication; questionnaire; scoring system; specialization; United States; education; hand; surgery"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161873676&doi=10.1016%2fj.scitotenv.2023.164638&partnerID=40&md5=52872b792101bc7d8221e8260ce3d989","","Artificial Intelligence; artificial intelligence; data science; decision making; intersectoral collaboration; Letter; natural language processing; scientific literature; water management"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168792426&doi=10.1097%2fNNE.0000000000001436&partnerID=40&md5=1b683614d2adace059b0510cc14da422","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161355554&doi=10.1097%2fRLU.0000000000004665&partnerID=40&md5=c8222fe165e782820b0e469112a46b32","","Artificial Intelligence; Biomedical Research; Humans; Letter; medical research; artificial intelligence; human"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165641108&doi=10.1016%2fj.nmni.2023.101166&partnerID=40&md5=87293f8227e0d4f4af5fae20f2fc2a74","ChatGPT; Infectious diseases; The Japanese association for infectious diseases","ChatGPT; communicable disease; infection; Letter; software"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166029781&doi=10.1016%2fj.ijme.2023.100857&partnerID=40&md5=9f18b6a10f346e0f9165a7daa41893f2","Academic research; Artificial intelligence; ChatGPT; Digital transformation; Learning; Management education; Teaching",""
