"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139039287&doi=10.1016%2fj.jsurg.2022.09.002&partnerID=40&md5=fabf398d634a97d83d310763a06e0c77","ACGME Milestones; education; vascular surgery fellowship; vascular surgery residency","Clinical Competence; Communication; Education, Medical, Graduate; Educational Measurement; Humans; Internship and Residency; Professionalism; Retrospective Studies; United States; Vascular Surgical Procedures; achievement; adult; article; cohort analysis; education; female; human; interpersonal communication; learning; major clinical study; male; outcome assessment; probability; professionalism; resident; retrospective study; skill; training; United States; vascular surgery; clinical competence; education; medical education; professionalism; vascular surgery"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147428952&doi=10.3389%2ffpsyg.2022.1096337&partnerID=40&md5=fd9d3ad4c081ca41fe98a4bc7d384ec4","asynchronous online course; cognitive load; educational data mining; self-regulated learning; student engagement; temporal learning analytics",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146357857&doi=10.1186%2fs41239-022-00372-4&partnerID=40&md5=00c24a33cfc46967c03dd115ea4dd74b","Academic performance prediction; AI prediction models; Artificial intelligence in education (AIEd); Collaborative learning; Online higher education",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165485726&doi=10.1108%2fPMM-04-2023-0009&partnerID=40&md5=a0c9b9a3301a4bc31590738064a79f95","Academic libraries; Learning analytics; Survey development; Survey methods; Survey reliability; Survey validity",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163812909&doi=10.3390%2felectronics12122594&partnerID=40&md5=4a0c9e696ea871f624133e1b6fe6fd5d","Explainable Artificial Intelligence; explanation satisfaction; learning analytics; trust; XAI; XAI techniques",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147921035&doi=10.1016%2fj.compedu.2023.104754&partnerID=40&md5=2ff6d432355bebaef5c3a0fd3dac49ed","Clickstreams; Flipped classroom; Machine learning; Motivation; Self-determination; Video-based learning","Computer aided instruction; Machine learning; Students; Clickstream data; Clickstreams; Flipped classroom; Learning environments; Learning motivation; Machine-learning; Performance; Self-determination; Time ratio; Video-based learning; Motivation"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142912303&doi=10.1111%2fjcal.12760&partnerID=40&md5=98bb272eac53aa0788c0a7fb1c99a545","augmented reality; behavioural pattern; language learning; language learning strategy; learning analytics",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150729861&doi=10.18608%2fjla.2023.7781&partnerID=40&md5=9b694a0dc42bb54256958c9cd0ac4739","critical theory; Data feminism; ethical guidelines; learning analytics; responsibility",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146156516&doi=10.1111%2fjcal.12775&partnerID=40&md5=cc529d377a2a6af9c9764fe1cc1adcf9","critical interpretative synthesis; instructional design; learning analytics; learning design; text analytics",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160032427&doi=10.3390%2feducsci13050498&partnerID=40&md5=45381239f920c885e6bdfa4a9d31beb9","adaptive learning technology; bibliometric analysis; dashboards; intelligent tutoring systems; model-based learning analytics; topic modelling",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140294882&doi=10.1007%2fs10639-022-11323-x&partnerID=40&md5=1a91ebb251d13db18c79e2b116c9a2ab","Adoption challenges; Higher education; Learning analytics",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169039685&doi=10.1007%2f978-3-031-34411-4_37&partnerID=40&md5=f527ac4386ce4200b4d6208f75696771","human-centred LA; Learning analytics; transparency; trustworthy LA systems","Ethical technology; Learning systems; Students; Abstract concept; Analytics systems; Conceptual levels; Core values; Educational settings; Human-centered learning analytic; Integral values; Learning analytic; Technical design; Trustworthy learning analytic system; Transparency"
