"Title","Year","Link","Abstract","Author Keywords","Index Keywords"
"Advertising acceptance via smart speakers","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141000648&doi=10.1108%2fSJME-02-2022-0028&partnerID=40&md5=f88ec5d1d4efd5ec5797491ed86596a2","Purpose: The influence of technology on marketing communications is rising in both applications and value created. Artificial intelligence (AI) and, as a result, smart speakers are benefiting both brands and customers at many levels. In particular, AI opens up the possibility to establish human-like dialogs with customers and to advertise brands in a new and engaging way. Therefore, the purpose of this paper is to understand why and how consumers would accept receiving advertising (ad) via AI-enabled devices such as smart speakers. Design/methodology/approach: A total of 326 individuals participated in a study that explored the factors influencing ad acceptance in smart devices. A partial least squares-structural equation model technique was used to validate the results. Findings: The findings show that customer acceptance of ads via smart assistants is influenced by smart assistant usefulness and hedonic motivations. However, privacy risk moderates the relationship between smart speaker ease of use and smart speaker usefulness. Originality/value: This paper explores the main drivers of ad acceptance via smart speakers and goes beyond the existing knowledge of smart speaker acceptance to further explore how this can become an important channel for brands to communicate. © 2022, João Guerreiro, Sandra Maria Correia Loureiro and Carolina Ribeiro.","Advertising acceptance; Artificial intelligence; Marketing communications; Smart speakers; Virtual assistants",""
"Does banner advertising still capture attention? An eye-tracking study","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164489314&doi=10.1108%2fSJME-11-2022-0236&partnerID=40&md5=a1f1195a75a02e931536abe7e6b44286","Purpose: The purpose of this study is to investigate how much visual attention is given to banner ads embedded in Web page content dependent on whether the user’s task is goal- or not goal-oriented, as well as the interplay between attention, banner location, banner click and banner recognition. Design/methodology/approach: The authors used a within-subjects design where 100 participants performed two tasks – reading a news and finding where to click next – on a Web page containing three banner ads embedded into the website content. The authors gathered behavioral and eye-tracking data. Findings: Consumers disregard banner ads when they are performing a focused task (reading news). Visual attention paid to the banners while reading – but not while free browsing – and banner location do not impact ad clicking. In addition, it is not necessary to pay full attention to a banner ad to be able to recognize it afterward. Practical implications: The strategy of embedding banners in the main content of a Web page leads to higher visual attention when consumers are browsing a Web page compared to a focused task (e.g. reading). It also increases ad recognition over time compared to benchmark levels for ads placed in traditional positions. Originality/value: Previous studies mainly assessed effectiveness of banners located at the top or lateral of a Web page. The authors used eye tracking as an objective measure of visual attention to banner ads embedded in Web page content and behavioral metrics to assess ad interest and measured ad recognition over time. © 2023, Aline Simonetti and Enrique Bigne.","Attention; Banner advertising; Eye tracking; Memory; Online marketing",""
"Advances in neuroscience and marketing: analyzing tool possibilities and research opportunities","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124459340&doi=10.1108%2fSJME-10-2021-0196&partnerID=40&md5=d69616ef8bad3700ce48f9b7e0b64f92","Purpose: This study aims to illuminate the contribution of neurophysiological techniques in the field of marketing and consumer decision-making and to highlight avenues and research questions that marketing researchers can take advantage of from neuroscience and psychology to inform marketing phenomena. Methodology: The authors first reviewed the roots and definition of consumer neuroscience. Then, the authors outlined the main characteristics of the most commonly used neurophysiological tools (namely, skin conductance, facial electromyography, electrocardiogram, eye-tracking, electroencephalography, functional magnetic resonance imaging, functional near-infrared spectroscopy, magnetoencephalography and transcranial magnetic stimulation) with a special emphasis on their advantages and weaknesses. Finally, the authors propose the development of research lines that could be implemented by marketing researchers with an appropriate application and understanding of tools and theories of neuroscience and psychology. Findings: The authors propose research questions to be addressed within four thematic areas: opportunities in product decisions (predicting product purchasing decisions, consumer responses to branding efforts and packaging), pricing, communication and retailing scenarios. The authors also incorporate insights into the complementarity of neurophysiological tools to traditional ones and situations in which these tools are useful for enhancing marketing theory. The authors finally shed light on the moral–ethical criticisms of this new branch of marketing. Value: To the best of the authors’ knowledge, this research constitutes the first study in identifying the research opportunities that marketing researchers could take advantage from neuroimaging and physiological tools to inform marketing theory and practice. ©, Luis-Alberto Casado-Aranda and Juan Sanchez-Fernandez.","Ethical concerns; Marketing research; Neuromarketing; Neurophysiological tools; Research opportunities",""
"How do ecotourists co-create value on digital platforms? The moderating role of ecotourist typology","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159840927&doi=10.1108%2fSJME-02-2022-0018&partnerID=40&md5=aa4b8c6fa7b8ac3f6d5f97496f48c4d5","Purpose: This study aims to examine the process of value co-creation (VCC) on digital ecotourism platforms and the role of perceived platform usefulness and user participation behavior in that process. The study also seeks to determine the extent to which the typology of the ecotourist moderates VCC. Design/methodology/approach: A total of 420 users of a digital ecotourism platform participated in a study analyzing the factors that influence VCC. A mediation, moderation and conditional process analysis was used to test the proposed hypotheses. A K-means cluster analysis was also used to classify the ecotourists into four groups. Findings: The results show that perceived platform usefulness has a strong influence on the generation of VCC and also on user participation behavior. In turn, user participation behavior is an important driver of VCC. This study also highlights the moderating role of the ecotourist typology in the formation of VCC on these digital platforms. Practical implications: This study offers managers of digital ecotourism platforms a means to identify and motivate those ecotourists with the necessary skills and characteristics to become true co-creators of value. Originality/value: This study contributes to the existing knowledge on how value is co-created on digital ecotourism platforms, confirming the important antecedent role of perceived platform usefulness and user participation behavior, as well as the moderating role of ecotourist typology. © 2023, Laura Hernández-López, Salvador Del Barrio-García and Maria Belen Prados-Peña.","Digital platforms; Ecotourism; Ecotourist typology; Participation; Perceived usefulness; Value co-creation",""
"The influence of eWOM. Analyzing its characteristics and consequences, and future research linesLa influencia de eWOM. Analizando sus caracteristicas, consecuencas y futuras lineas de investigación 的影响。分析其特点和后果, 以及未来的研究方向","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112116492&doi=10.1108%2fSJME-10-2020-0186&partnerID=40&md5=8bfdc7bf899ec1a0487ef4bc9008819c","Purpose: This study, first, reviews the existing literature on electronic word-of-mouth (eWOM) and, using communication theory, examines its impact on its readers’ decision-making processes. Second, this paper aims to propose some elements of eWOM communications that might be further researched. Design/methodology/approach: A literature review of relevant academic articles produced 97 works related to social communication theory, eWOM and new artificial intelligence trends in hospitality. Thereafter, potential avenues for future research were explored. Findings: The study results showed: valence, relevance, understandability and visual cues are the most important antecedents of message usefulness and the reader’s behavioral intentions; source credibility is the sender characteristic that most affects the reader’s behavioral intentions and consumer susceptibility to interpersonal influence is the receiver characteristic that most influences their attitudes and behavioral intentions. In addition, the study highlights four relevant aspects for future research. First, more research into online fake reviews is needed to better understand sender motivations. Second, companies should actively manage negative reviews. Then, the careful choice of platforms on which companies promote their products/services. Finally, the role of artificial intelligence in increasing the effectiveness of eWOM in the hospitality industry. Originality/value: This paper integrates – grounded on communication theory – results from previous studies about the central elements of communication (message, sender and receiver) and discusses the main trends in hospitality-related eWOM. In addition, the paper examines the potential of specific eWOM elements as future lines of research, in particular: fake reviews, strategies for dealing with negative reviews, the eWOM platform used and artificial intelligence applications. © 2021, Khaoula Akdim.","Artificial intelligence; Communication theory; eWOM; Fake reviews; Negative reviews",""
"Exploring innovativeness, need for uniqueness and brand tiers in the sharing economy","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195806935&doi=10.1108%2fSJME-11-2023-0309&partnerID=40&md5=ce3b76248be3eaa7e2704698b87dbca6","Purpose: In a context where the sharing economy (SE) plays an important role in the transformation of today’s business landscape, profoundly changing the behavior of consumers and many established companies, some companies have begun to adapt to SE by incorporating its value propositions into their business models. Therefore, the purpose of this paper is to study the role of consumer innovativeness, brand levels and the need for uniqueness on the way to attitudes and intentions to participate in SE. Design/methodology/approach: This study collected the data through an online user survey, achieving a total sample of 717. The data were first analyzed using structural equation modeling and then combined with the use of the PROCESS macro. Findings: The findings provide empirical evidence of the antecedents of consumer innovativeness in a SE context and its role in explaining consumer attitudes and intentions to participate in non-ownership consumption. Furthermore, they also demonstrate that brand tiers and the need for uniqueness moderate the relationship between intentions and participation. Originality/value: The results of this study contribute to the theoretical development of the SE by presenting the first conceptual model that considers including the brand tiers effect and connects it to two leading theories on consumer behavior (diffusion of innovations theory and uniqueness theory). In addition, the study’s findings provide valuable insights for sharing platforms and traditional companies that choose to participate in the collaborative economy. © 2024, Daniel Espinosa Sáez, Elena Delgado-Ballester and José Luis Munuera Alemán.","Attitude; Brand tiers; Consumer innovativeness; Need for uniqueness; Purchase intention; Sharing economy",""
"Sustainability claim, environmental misconduct and perceived hypocrisy in luxury branding","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138231882&doi=10.1108%2fSJME-02-2022-0012&partnerID=40&md5=4917f8a952909b98cdd3e4f904cf19f1","Purpose: This paper aims to examine consumers’ evaluation of and reaction to the coexistence of brand misconduct and sustainability claims through a series of studies. Design/methodology/approach: The research questions are examined across three studies. Consumer’s scepticism of corporate social responsibility (CSR) is considered the driver of brand distance. Brand hypocrisy is postulated to mediate the relationship between scepticism to CSR and brand distance. Furthermore, brand trust and desire for exclusivity are tested as moderators of brand hypocrisy and brand distance. Findings: The findings showed that environmental misconduct leads to perceived brand hypocrisy and brand distancing. When luxury brands take action to remedy their actions, the perceived brand hypocrisy and brand distancing decrease. In addition, brand trust and desire for exclusivity dilute the relationship between brand hypocrisy and brand distance. Originality/value: The findings show that, standing in a contradictory position, brands can still reduce the consumers’ perceived brand distance by building a strong consumers’ trust toward the brand. At the same time, relating the luxury consumers’ yearning for the exclusive products and services, the findings show that the consumers with a strong desire for exclusivity feel a lower level of brand distance even if the brand gets involved in misconduct. © 2022, Isaac Cheah, Anwar Sadat Shimul and Min Teah.","Brand communication; Brand distance; Brand hypocrisy; Corporate social responsibility (CSR); Luxury brand; Sustainability",""
"Developing customer engagement through communication consistency and channel coordination","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149072662&doi=10.1108%2fSJME-02-2022-0022&partnerID=40&md5=e44885b48855acb574082418618fe451","Purpose: This study aims to understand how integration efforts at both communication and channel levels can foster customer engagement behavior in the retail sector from the perspective of employees. Design/methodology/approach: Data were collected through 231 face-to-face questionnaires completed by frontline employees in shopping centers. A structural equation modeling approach was applied to test the proposed hypotheses. Findings: The results highlight the importance of integration efforts as external stimuli for enhancing employees’ perceptions about customer engagement behavior. Findings extend the stimulus-organism-response model by predicting responses that go beyond employees’ behavior to predict customer engagement behavior. Results also confirm the mediating role of attitudes toward marketing communications and synergy realization in the proposed model. Practical implications: Retailers should integrate their multiple channels and operate consistently and in coordination through them to develop employees’ perceptions about customer engagement behavior. Managers should regularly collect information from their employees as they represent an important touchpoint in omnichannel retailing. Originality/value: There is a gap in the omnichannel retailing literature regarding how integration efforts at a communication level may complement integration efforts at a channel level for developing customer engagement. This study addresses this gap by adopting a novel perspective using frontline employees as a source of information for assessing customer engagement behavior. It extends knowledge about how customer engagement behavior may be developed and strengthened from the employees’ point of view. © 2023, María Sicilia and Mariola Palazón.","Channel integration; Communication consistency; Customer engagement behavior; Employees; Retailers; Synergy",""
"Marketing education for sustainable development","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161838390&doi=10.1108%2fSJME-06-2022-0131&partnerID=40&md5=9868875b5549ca76eb835e187ad00f14","Purpose: Given the pressing global challenges underpinning the United Nations’ Sustainable Development Goals, marketing managers can no longer focus only on purely economic outcomes but must simultaneously respond to social and environmental concerns. This requires the teaching of new competencies in marketing education, as also reflected in today’s accreditation requirements for business schools. Therefore, this paper aims to explore how current research into marketing education incorporates sustainable development. Design/methodology/approach: Through a bibliometric literature review – examining 71 publications using the bibliographic coupling method – the current research front in marketing education is analysed. Findings: This paper identifies seven trending topics in marketing education research that both highlight a currently prevalent sustainability gap in marketing education research and – when combined into a framework – help marketing education researchers and educators to address this gap. Originality/value: This paper extends the already established concept of education for sustainable development to include the concept of marketing education for sustainable development (MESD) for the first time. The MESD framework combines its raison d’être with guidance on how sustainable development should be taught and what the learning objectives should be for future marketing managers. © 2023, Chiara Hübscher, Susanne Hensel-Börner and Jörg Henseler.","Bibliometrics; Competencies; Marketing education; SDGs; Sustainable development",""
"Driving customer engagement and citizenship behaviour in omnichannel retailing: evidence from the fashion sector","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174722363&doi=10.1108%2fSJME-10-2022-0220&partnerID=40&md5=3e869351f3546c6e885baf8f3af25b2e","Purpose: This study, grounded in the SOR theory, aims to enrich the understanding of customer citizenship behaviour in omnichannel fashion retail by examining how different customer experiences enhance customer engagement and how that engagement leads to customer citizenship behaviour. The influence of return policies on the relationship between customer engagement and customer citizenship behaviour was also examined. Design/methodology/approach: Partial least squares structural equation modelling (PLS-SEM) is used to examine the framework of the proposed study with data collected through a survey (n = 251) to examine the opinions of the respondents about the variables mentioned. The authors also assessed the proposed framework using predictive power assessment using PLS predict. Findings: The study results reveal that customers’ experiences of integration and flexibility in omnichannel retail are positively associated with their engagement. However, customer experiences of connectivity, consistency and personalization do not appear to affect customer engagement significantly in omnichannel retail. The return policy positively moderates the relationship between customer engagement and customer citizenship behaviour in the omnichannel fashion retail context. Predictive power assessment shows that the proposed model has high prediction accuracy. Originality/value: This study contributes to the marketing literature by investigating different dimensions of consumer experience collectively and its impact on customer engagement and citizenship behaviour. Furthermore, the study contributes to omnichannel retail in fashion industry by testing the return policy as a moderator variable on the relationship between customer engagement and citizenship behaviour. © 2023, Suha Fouad Salem and Alshaimaa Bahgat Alanadoly.","Customer citizenship behaviour; Omni-channel fashion retailing; Omnichannel shopping experience; PLSpredict; Stimulus-response theory",""
