"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152226062&doi=10.1016%2fj.segan.2023.101042&partnerID=40&md5=806c02e2df9b77ded6cc8c42e73c0a01","Average voltage restoration; DC microgrids; Distributed secondary control; Economic dispatch; Fixed-time convergence","Electric load dispatching; Microgrids; Renewable energy resources; Restoration; Average voltage restoration; DC microgrid; Distributed secondary control; Economic Dispatch; Fixed time; Fixed-time convergence; Microgrid; Secondary control; Time-scales; Voltage restoration; Voltage regulators"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168421214&doi=10.1016%2fj.segan.2023.101125&partnerID=40&md5=2e924e156d838064f371f88fa0290bba","Electricity markets; Local flexibility markets; Optimization; Power system economics; TSO–DSO coordination","Electric power distribution; Electric power transmission; Electric substations; Sensitivity analysis; Voltage distribution measurement; Case-studies; Coordination scheme; Local flexibility; Local flexibility market; Market design; Optimisations; Power systems economics; Swedishs; Transmission grids; TSO–DSO coordination; Power markets"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159609710&doi=10.1016%2fj.segan.2023.101061&partnerID=40&md5=6297cf212834aec8fb07356d99e72312","Decomposition; Electric vehicle charging station; Line flow; Transmission cost allocation; Transmission fixed cost; Wind farms","Charging (batteries); Costs; Electric load shedding; Electric power transmission; Electric power transmission networks; Electric utilities; Electric vehicles; Vehicle transmissions; Wind farm; Charging station; Electric vehicle charging; Electric vehicle charging station; Fair allocation; Fixed cost; Line flows; Optimal allocation; Transmission cost allocation; Transmission fixed cost; Wind farm; Electric lines"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168012311&doi=10.1016%2fj.segan.2023.101123&partnerID=40&md5=249e959a860a8ac9f706342fb7051414","Carbon emissions; CCHP-CCS-P2G (CCP); Energy station (ES); Regionally Integrated Energy System (RIES); Reliability; Two-stage distributionally robust optimization (DDTS-DRO)","Carbon capture; Climate change; Climate models; Cooling systems; Digital storage; Integer programming; Uncertainty analysis; Capture system; Carbon emissions; Combined cooling heating and power; Combined cooling, heating, and power system-carbon capture system-P2G; Data driven; Energy station; Energy stations; Integrated energy systems; Regionally integrated energy system; Robust optimization; Two-stage distributionally robust optimization (data-driven two-stage distributionally robust optimization); Reliability"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167588505&doi=10.1016%2fj.segan.2023.101127&partnerID=40&md5=fa21010e651946a13bfee1b2c33d42d8","Automatic sectionalizer; Distribution network reliability; Mixed integer linear programming; Relocation; Switch placement; Tie switch","Integer programming; Reliability; Remote control; Software testing; Automatic sectionalizer; Disconnect switch; Distribution network reliability; Integer Linear Programming; Mixed integer linear; Mixed integer linear programming; Network reliability; Re closers; Switch placement; Tie switch; Sensitivity analysis"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85156175156&doi=10.1016%2fj.segan.2023.101051&partnerID=40&md5=5da10a03c52220152aa29d37ff9470a6","Community energy storage; Energy hub; Energy sharing; PV prosumers; Stochastic optimization","Digital storage; Electric power distribution; Iterative methods; Optimization; Probability distributions; Stochastic models; Stochastic systems; Uncertainty analysis; Community energy; Community energy storage; Data driven; Energy hubs; Energy sharings; Photovoltaic prosumer; Photovoltaics; Stochastic optimizations; Stochastics; Uncertainty; Energy storage"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167971531&doi=10.1016%2fj.segan.2023.101126&partnerID=40&md5=43b25eada90bfa1054ed7be9a8245c11","Data-driven; Fault detection; Semi-supervised detection; Sensor faults; Wind turbines","Condition monitoring; Data acquisition; Gaussian noise (electronic); Independent component analysis; Multivariant analysis; Wind turbines; Data driven; Detection threshold; Faults detection; Independent components analysis; Non-Gaussian data; Semi-supervised; Semi-supervised detection; Sensor fault detection; Sensors faults; Supervisory control and data acquisition; Fault detection"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151014090&doi=10.1016%2fj.segan.2023.101032&partnerID=40&md5=7f657876c8f24a25b6103a9db3b8e416","Distributed generation; Graph signal processing; Graph theory; Power flow; Power system","Computer software; Electric load flow; Flow graphs; Graphic methods; Power quality; Signal processing; 'current; Current variability; Graph signal processing; Load currents; Power; Power flows; Power system; Signal processing on graphs; Signal-processing; Simulink; Distributed power generation"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163216234&doi=10.1016%2fj.segan.2023.101088&partnerID=40&md5=6090f2e9d81f9bf7f954441d0d8a0417","Distributed generation; Energy community; Interval optimization; Stackelberg game","Distributed computer systems; Integer programming; Profitability; Active distributions; Day-ahead scheduling; Decarbonisation; Energy; Energy community; Interval optimization; Scheduling strategies; Stackelberg; Stackelberg Games; Submodules; Distributed power generation"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153397477&doi=10.1016%2fj.segan.2023.101036&partnerID=40&md5=5ec9bfd1ba5bf1084fe27b515e50e1bf","Deep learning; Energy losses; Image processing; Photovoltaics panels; Snow cover","Deep learning; Deposition rates; Hydrogen; Image enhancement; Learning systems; Snow; Solar panels; Solar power generation; Uncertainty analysis; Deep learning; Energy productions; Images processing; Loss model; Perspective transformation; Photovoltaic panels; Photovoltaics; Snow coverage; Snow covers; Solar module; Energy dissipation"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162952959&doi=10.1016%2fj.segan.2023.101091&partnerID=40&md5=63c0b72eb4e066a1b223513c07c7ca81","Forecast reconciling; Hierarchical forecasting; Identifiability; Large-p small-n problem; Mean absolute scaled error; Shrinkage estimator; Spatial correlation; Spatial smoothing","Electric utilities; Shrinkage; Weather forecasting; Wind farm; Forecast reconciling; Hierarchical forecasting; Identifiability; Large-p small-n; Large-p small-n problem; Mean absolute scaled error; Shrinkage estimator; Spatial correlations; Spatial smoothing; Wind farm; Covariance matrix"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151273354&doi=10.1016%2fj.segan.2023.101033&partnerID=40&md5=5f535142ea3a3c153abb43eca7d1207a","Energy management system; Flexibility; Forecasting; Machine learning; Prosumer; Security","Computational complexity; Decision trees; Economic and social effects; Energy management; Housing; Information management; Machine learning; Profitability; Weather forecasting; Computational resources; Data-source; Flexibility; Machine learning models; Machine-learning; Optimisations; Prosumer; Residential energy management system; Security; Trade off; Energy management systems"
