Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
Comment,1995,The European Journal of Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952420299&doi=10.1080%2f13518479500000002&partnerID=40&md5=0587f4b5e41824741902badc4b890452,[No abstract available],,
Heterogeneous real-time trading strategies in the foreign exchange market,1995,The European Journal of Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0012786632&doi=10.1080%2f13518479500000026&partnerID=40&md5=b95802dc2fb88fe18a3578ec7ff201bd,[No abstract available],,
Comment,1995,The European Journal of Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952408497&doi=10.1080%2f13518479500000003&partnerID=40&md5=6e95edd6ffe4f4167be7b661b80359cf,[No abstract available],,
Options as a predictor of common stock price changes,1995,The European Journal of Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84950009538&doi=10.1080%2f13518479500000023&partnerID=40&md5=6e1944d71285e8f6d408c55db986de11,[No abstract available],,
Short-term performance pressures: Is there a consensus view?,1995,The European Journal of Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-8344248506&doi=10.1080%2f13518479500000007&partnerID=40&md5=1ce29bdb3775f55a6e3de7d9895b2b50,[No abstract available],,
Calendar effects in the london stock exchange ft-se indices,1995,The European Journal of Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0002832996&doi=10.1080%2f13518479500000010&partnerID=40&md5=2c7c00b586f80ba17820a0ccb6eb0c4d,[No abstract available],,
The international co-movements of finnish stocks,1995,The European Journal of Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0002425457&doi=10.1080%2f13518479500000011&partnerID=40&md5=c099762df4ef74c20c33e4d2c72172a8,[No abstract available],,
Stock market regulations and international financial integration: The case of Spain,1995,The European Journal of Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77953575417&doi=10.1080%2f13518479500000025&partnerID=40&md5=520e7bbd3f267257823770a5b10e2231,[No abstract available],,
"The classical tax system, imputation tax and capital budgeting",1995,The European Journal of Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963146696&doi=10.1080%2f13518479500000012&partnerID=40&md5=a815e97c66baf74055b71a8b8e9a0b09,"Differences in the taxation systems in Britain, France, and some other European countries (which use the imputation system) compared with the USA and the Netherlands, among others (which use the classical tax system), mean that the cost of equity capital should be specified, using a capital asset pricing model methodology, in different ways. Under the imputation system its value should be net of personal taxes; under the classical tax system, it should be gross of personal taxes. Similarly the value of the tax shield on debt for input into adjusted present value calculations differs, being significantly greater under the classical tax system. Formulae are set out to enable the calculation of the magnitude of the tax shield readily to be undertaken. © 1995, Taylor & Francis Group, LLC. All rights reserved.",,
A reappraisal of share price maximization as a corporate financial objective,1995,The European Journal of Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944165822&doi=10.1080%2f13518479500000001&partnerID=40&md5=4f580f75be7de21f5dbc68286ad890ce,"This paper challenges the conventional share price maximizing objective and the assumption that a successful company can expect to achieve share price growth above the normal drift caused by inflation and earnings retention. The share price is an expectations-based measure, and more efficient companies have no greater prospect of outperforming market expectations than less efficient companies. The paper concludes that, given the potentially dysfunctional effects of pursuing a share price maximizing goal, it may be significant that share-price centred economies such as the UK and the US tend to be associated with a more short-termist perspective than bank-centred economies such as Germany and Japan. © 1995, Taylor & Francis Group, LLC. All rights reserved.",share price maximization; short-termism; zero NPVs,
