Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
Explaining Forward Exchange Bias…Intraday,1995,The Journal of Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84993912352&doi=10.1111%2fj.1540-6261.1995.tb04061.x&partnerID=40&md5=6a6cdcddbd91b7115ba13a6262d93eef,"Intraday interest rates are zero. Consequently, a foreign exchange dealer can short a vulnerable currency in the morning, close this position in the afternoon, and never face an interest cost. This tactic might seem especially attractive in times of fixed‐rate crisis, since it suggests an immunity to the central bank's interest rate defense. In equilibrium, however, buyers of the vulnerable currency must be compensated on average with an intraday capital gain as long as no devaluation occurs. That is, currencies under attack should typically appreciate intraday. Using data on intraday exchange rate changes within the European Monetary System, we find this prediction is borne out. 1995 The American Finance Association",,
Do Expected Shifts in Inflation Affect Estimates of the Long‐Run Fisher Relation?,1995,The Journal of Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84993907289&doi=10.1111%2fj.1540-6261.1995.tb05172.x&partnerID=40&md5=9b38a10e00b1e939669d994674739e34,"Recent empirical studies suggest that nominal interest rates and expected inflation do not move together one‐for‐one in the long run, a finding at odds with many theoretical models. This article shows that these results can be deceptive when the process followed by inflation shifts infrequently. We characterize the shifts in inflation by a Markov switching model. Based upon this model's forecasts, we reexamine the long‐run relationship between nominal interest rates and inflation. Interestingly, we are unable to reject the hypothesis that in the long run nominal interest rates reflect expected inflation one‐for‐one. 1995 The American Finance Association",,
Asset Price Dynamics and Infrequent Feedback Trades,1995,The Journal of Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84993921990&doi=10.1111%2fj.1540-6261.1995.tb05196.x&partnerID=40&md5=7e4df029f97fa1cc8e49b322dd3ec8b4,"This article combines the continuous arrival of information with the infrequency of trades, and investigates the effects on asset price dynamics of positive and negative‐feedback trading. Specifically, we model an economy where stocks and bonds are traded by two types of agents: speculators who maximize expected utility, and feedback traders who mechanically respond to price changes and infrequently submit market orders. We show that positive‐feedback strategies increase the volatility of stock returns, and the response of stock prices to dividend news. Conversely, the presence of negative‐feedback traders makes stock returns less volatile, and prices less responsive to dividends. 1995 The American Finance Association",,
Predicting Volatility in the Foreign Exchange Market,1995,The Journal of Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84993915193&doi=10.1111%2fj.1540-6261.1995.tb04793.x&partnerID=40&md5=6a90375c499bf2fe50d28219f1e15f90,"Measures of volatility implied in option prices are widely believed to be the best available volatility forecasts. In this article, we examine the information content and predictive power of implied standard deviations (ISDs) derived from Chicago Mercantile Exchange options on foreign currency futures. The article finds that statistical time‐series models, even when given the advantage of “ex post” parameter estimates, are outperformed by ISDs. ISDs, however, also appear to be biased volatility forecasts. Using simulations to investigate the robustness of these results, the article finds that measurement errors and statistical problems can substantially distort inferences. Even accounting for these, however, ISDs appear to be too variable relative to future volatility. 1995 The American Finance Association",,
Managers of Financially Distressed Firms: Villains or Scapegoats?,1995,The Journal of Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84993907217&doi=10.1111%2fj.1540-6261.1995.tb04042.x&partnerID=40&md5=c3a16819e9a506463e70b2bbe52d7f41,"In this article, we provide evidence concerning the extent to which managers are to blame when their firms become bankrupt. We study a sample of firms that file for Chapter 11 and determine the actions taken by the firms' managers during the three‐year period before the filing. We compare the sample with a control sample of firms that performed better. We suggest that the comparison provides evidence on the way managers act as their firms sink into financial trouble and whether financial distress is the result of incompetence or excessively self‐serving managerial decisions or due to factors outside of management's control. We find that managers of the Chapter 11 firms and the control firms make very similar decisions and that, on average, neither set of managers is perceived to be taking value‐reducing actions. These results do not change when we control for managerial turnover or managerial ownership. We also find that when managers are replaced in firms that eventually file for Chapter 11 protection, the market does not respond positively, regardless of whether the new managers are from inside or outside the firm. Our findings suggest that when managers are blamed for financial distress, they are serving as scapegoats. 1995 The American Finance Association",,
Interest Rates as Options,1995,The Journal of Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84993914936&doi=10.1111%2fj.1540-6261.1995.tb05182.x&partnerID=40&md5=9d0b00da8b4ca362212c07fcdc83556f,"Since people can hold currency at a zero nominal interest rate, the nominal short rate cannot be negative. The real interest rate can be and has been negative, since low risk real investment opportunities like filling in the Mississippi delta do not guarantee positive returns. The inflation rate can be and has been negative, most recently (in the United States) during the Great Depression. The nominal short rate is the “shadow real interest rate” (as defined by the investment opportunity set) plus the inflation rate, or zero, whichever is greater. Thus the nominal short rate is an option. Longer term interest rates are always positive, since the future short rate may be positive even when the current short rate is zero. We can easily build this option element into our interest rate trees for backward induction or Monte Carlo simulation: just create a distribution that allows negative nominal rates, and then replace each negative rate with zero. 1995 The American Finance Association",,
Finance Research Productivity and Influence,1995,The Journal of Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84993917548&doi=10.1111%2fj.1540-6261.1995.tb05193.x&partnerID=40&md5=494fe8c5fed4ece3178c6da749c153f1,"This study examines differences in finance research productivity and influence across 661 academic institutions over the five‐year period from 1989 through 1993. We find that 40 institutions account for over 50 percent of all articles published by 16 leading journals over the five‐year period; 66 institutions account for two‐thirds of the articles. Influence is more skewed, with as few as 20 institutions accounting for 50 percent of all citations to articles in these journals. The number of publications and publication influence increase with faculty size and academic accreditation. Prestigious business schools are associated with high publication productivity and influence. 1995 The American Finance Association",,
Pricing Derivatives on Financial Securities Subject to Credit Risk,1995,The Journal of Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84993907181&doi=10.1111%2fj.1540-6261.1995.tb05167.x&partnerID=40&md5=531b6a1c0f877e36feb8bafb08c7fd79,"This article provides a new methodology for pricing and hedging derivative securities involving credit risk. Two types of credit risks are considered. The first is where the asset underlying the derivative security may default. The second is where the writer of the derivative security may default. We apply the foreign currency analogy of Jarrow and Turnbull (1991) to decompose the dollar payoff from a risky security into a certain payoff and a “spot exchange rate.” Arbitrage‐free valuation techniques are then employed. This methodology can be applied to corporate debt and over the counter derivatives, such as swaps and caps. 1995 The American Finance Association",,
The World Price of Foreign Exchange Risk,1995,The Journal of Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84993909002&doi=10.1111%2fj.1540-6261.1995.tb04791.x&partnerID=40&md5=5491fcb92c87031ac9cf877f71d1fb89,Departures from purchasing power parity imply that different countries have different prices for goods when a common numeraire is used. Stochastic changes in exchange rates are associated with changes in these prices and constitute additional sources of risk in asset pricing models. This article investigates whether exchange rate risks are priced in international asset markets using a conditional approach that allows for time variation in the rewards for exchange rate risk. The results for equities and currencies of the world's four largest equity markets support the existence of foreign exchange risk premia. 1995 The American Finance Association,,
Price Reactions to Dividend Initiations and Omissions: Overreaction or Drift?,1995,The Journal of Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84993919451&doi=10.1111%2fj.1540-6261.1995.tb04796.x&partnerID=40&md5=ce72af88223bac21d58b0f4576412170,"This article investigates market reactions to initiations and omissions of cash dividend payments. Consistent with prior literature we find that the magnitude of short‐run price reactions to omissions are greater than for initiations. In the year following the announcements, prices continue to drift in the same direction, though the drift following omissions is stronger and more robust. This post‐dividend initiation/omission price drift is distinct from and more pronounced than that following earnings surprises. A trading rule employing both samples earns positive returns in 22 out of 25 years. We find little evidence for clientele shifts in either sample. 1995 The American Finance Association",,
Convertible Bonds Are Not Called Late,1995,The Journal of Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84993905056&doi=10.1111%2fj.1540-6261.1995.tb04058.x&partnerID=40&md5=f2f678b38655f4c0d7ff4ff651889d17,"Starting with Ingersoll (1977b), the academic literature has repeatedly sought to explain why convertible bonds are called late. The findings here demonstrate there is no call delay to explain. This paper finds that most convertible bonds, given their call protection, are called as soon as possible. For those that are not, there are significant cash flow advantages to delaying. The median call delay for all convertible bonds is less than four months. If a safety premium is desired to assure the conversion value will exceed the call price at the end of call notice period, the median call period is less than a month. 1995 The American Finance Association",,
The Priority Structure of Corporate Liabilities,1995,The Journal of Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84993924992&doi=10.1111%2fj.1540-6261.1995.tb04041.x&partnerID=40&md5=122e06d02ef90cbde06343b4d8294bf4,"Most discussions of corporate capital structure effectively assume that all debt is the same. Yet debt differs by maturity, covenant restrictions, conversion rights, call provisions, and priority. Here, we examine priority structure across a sample of 4995 COMPUSTAT industrial firms from 1981 to 1991. We analyze the variation in the use of capital leases, secured debt, ordinary debt, subordinated debt, and preferred stock both as a fraction of the firm's market value and as a fraction of total fixed claims. Our evidence provides consistent support for contracting cost hypotheses, mixed support for tax hypotheses, and little support for the signaling hypothesis. 1995 The American Finance Association",,
Time‐Varying Expected Returns in International Bond Markets,1995,The Journal of Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84993913346&doi=10.1111%2fj.1540-6261.1995.tb04792.x&partnerID=40&md5=408852ab8649e4f5b84c0ab13fcef68f,"This article examines the predictable variation in long‐maturity government bond returns in six countries. A small set of global instruments can forecast 4 to 12 percent of monthly variation in excess bond returns. The predictable variation is statistically and economically significant. Moreover, expected excess bond returns are highly correlated across countries. A model with one global risk factor and constant conditional betas can explain international bond return predictability if the risk factor is proxied by the world excess bond return, but not if it is proxied by the world excess stock return. 1995 The American Finance Association",,
Time‐Varying World Market Integration,1995,The Journal of Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84993905064&doi=10.1111%2fj.1540-6261.1995.tb04790.x&partnerID=40&md5=a6b7fa28a210aee63dc8cdbf038b69db,"We propose a measure of capital market integration arising from a conditional regime‐switching model. Our measure allows us to describe expected returns in countries that are segmented from world capital markets in one part of the sample and become integrated later in the sample. We find that a number of emerging markets exhibit time‐varying integration. Some markets appear more integrated than one might expect based on prior knowledge of investment restrictions. Other markets appear segmented even though foreigners have relatively free access to their capital markets. While there is a perception that world capital markets have become more integrated, our country‐specific investigation suggests that this is not always the case. 1995 The American Finance Association",,
Fairly Priced Deposit Insurance and Bank Charter Policy,1995,The Journal of Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84993912151&doi=10.1111%2fj.1540-6261.1995.tb05195.x&partnerID=40&md5=f7536d3e864f730bac01853bc9ec766b,"The thrust of current deposit insurance reform—risk‐based insurance premiums and capital requirements—is an effort to price deposit insurance more fairly. Fairly pricing deposit insurance eliminates inequitable wealth transfers, but it does not lead to an efficient equilibrium. This paper shows that an alternative charter policy results in an efficient separating equilibrium. 1995 The American Finance Association",,
How Much Can Marketability Affect Security Values?,1995,The Journal of Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84993915034&doi=10.1111%2fj.1540-6261.1995.tb05197.x&partnerID=40&md5=3031bb9a18a9aa4c1f7594e896616bf0,"How marketability affects security prices is one of the most important issues in finance. We derive a simple analytical upper bound on the value of marketability using option‐pricing theory. We show that discounts for lack of marketability can potentially be large even when the illiquidity period is very short. This analysis also provides a benchmark for assessing the potential costs of exchange rules and regulatory requirements restricting the ability of investors to trade when desired. Furthermore, these results provide new insights into the relation between discounts for lack of marketability and the length of the marketability restriction. 1995 The American Finance Association",,
The Exchange Rate in the Presence of Transaction Costs: Implications for Tests of Purchasing Power Parity,1995,The Journal of Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84993915037&doi=10.1111%2fj.1540-6261.1995.tb04060.x&partnerID=40&md5=37a8e7668e456f51a9d30b169b6b0c70,"With transaction costs for trading goods, the nominal exchange rate moves within a band around the nominal purchasing power parity (PPP) value. We model the behavior of the band and of the exchange rate within the band. The model explains why there are below‐unity slope coefficients in regression tests of PPP, and why these increase toward unity under hyperinflation or with low‐frequency data. Our results are independent of the presence of nontraded goods in the economy. 1995 The American Finance Association",,
Trading Behavior and the Unbiasedness of the Market Reaction to Dividend Announcements,1995,The Journal of Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84993918944&doi=10.1111%2fj.1540-6261.1995.tb05173.x&partnerID=40&md5=df7807aa31ae616bed469287aae60b39,"This article examines the price formation process during dividend announcement day, using daily closing prices and transactions data. We find that the unconditional positive excess returns, first documented by Kalay and Loewenstein (1985), are higher for small‐firm and low‐priced stocks. Price volatility and trading volume also increase during this period. Examination of trade prices relative to the bid‐ask spread and volume of trades at bid and asked prices shows that the excess returns cannot be attributed to measurement errors or to spillover effects of tax‐related ex‐day trading. Rather, the price behavior is related to the absorption of dividend information. 1995 The American Finance Association",,
Postbankruptcy Performance and Management Turnover,1995,The Journal of Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84993915039&doi=10.1111%2fj.1540-6261.1995.tb05165.x&partnerID=40&md5=b27fa99f88e210acb4972d112c3232f9,This article examines the performance of 197 public companies that emerged from Chapter 11. Over 40 percent of the sample firms continue to experience operating losses in the three years following bankruptcy; 32 percent reenter bankruptcy or privately restructure their debt. The continued involvement of prebankruptcy management in the restructuring process is strongly associated with poor post‐bankruptcy performance. The substantial number of firms emerging from Chapter 11 that are not viable or need further restructuring provides little evidence that the process effectively rehabilitates distressed firms and is consistent with the view that there are economically important biases toward continuation of unprofitable firms. 1995 The American Finance Association,,
Does the Liquidity of a Debt Issue Increase with Its Size? Evidence from the Corporate Bond and Medium‐Term Note Markets,1995,The Journal of Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84993907133&doi=10.1111%2fj.1540-6261.1995.tb05194.x&partnerID=40&md5=ba16b4dc6598c090dc2371a70d8bd4dc,"To investigate the liquidity of large issues, this study tests for yield differences between corporate bonds and medium‐term notes (MTNs). In the sample, MTNs have an average issue size of $4 million, compared with $265 million for bonds. Among MTNs that have the same issuance date, the same maturity date, and the same corporate issuer, we find no relation between size and yields. Moreover, bonds and MTNs have statistically equivalent yields. Thus, rather than suggesting that large issues have greater liquidity, these findings indicate that large and small securities issued by the same borrower are close substitutes. 1995 The American Finance Association",,
Fischer Black,1995,The Journal of Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84993908984&doi=10.1111%2fj.1540-6261.1995.tb05181.x&partnerID=40&md5=2d3d3bb527607e0bf9c70344a7b2bb6a,[No abstract available],,
"Information Quality, Performance Measurement, and Security Demand in Rational Expectations Economies",1995,The Journal of Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84993905078&doi=10.1111%2fj.1540-6261.1995.tb05177.x&partnerID=40&md5=54ad10529025d6a5b1ad1af4662e3c35,"The relationship between asset demand and information quality in rational expectations economies is analyzed. First we derive a number of new summary descriptive statistics that measure four basic characteristics of investment style: asset selection, market timing, aggressiveness, and specialization. Then we relate these statistics to the divergence between a given investor's information structure and the market average information structure. Finally, we demonstrate that informational differentials can be identified, and consistently estimated, using ordinary least squares, from the time‐series of observed asset demand. 1995 The American Finance Association",,
Lattice Models for Pricing American Interest Rate Claims,1995,The Journal of Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84993911755&doi=10.1111%2fj.1540-6261.1995.tb04802.x&partnerID=40&md5=47af79a2cfca7449ad2e0f3c07534f82,"This article establishes efficient lattice algorithms for pricing American interest‐sensitive claims in the Heath, Jarrow, and Morton paradigm, under the assumption that the volatility structure of forward rates is restricted to a class that permits a Markovian representation of the term structure. The class of volatilities that permits this representation is quite large and imposes no severe restrictions on the structure for the spot rate volatility. The algorithm exploits the Markovian property of the term structure and permits the efficient computation of all types of interest rate claims. Specific examples are provided. 1995 The American Finance Association",,
The Errors in the Variables Problem in the Cross‐Section of Expected Stock Returns,1995,The Journal of Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84993913139&doi=10.1111%2fj.1540-6261.1995.tb05190.x&partnerID=40&md5=06db002c1d462144eda4ddba38dfe19b,"Recent research has documented the failure of market beta to capture the cross‐section of expected returns within the context of a two‐pass estimation methodology. However, the two‐pass methodology suffers from the errors‐in‐variables (EIV) problem that could attenuate the apparent significance of market beta. This article provides a new correction for the EIV problem that is robust to conditional heteroscedasticity. After the correction, I find more support for the role of market beta and less support for the role of firm size in explaining the cross‐section of expected returns. While the EIV correction leads to a diminished role of firm size, the size variable remains a significant force in explaining the cross‐section of expected returns. 1995 The American Finance Association",,
On Intraday Risk Premia,1995,The Journal of Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84993914986&doi=10.1111%2fj.1540-6261.1995.tb05176.x&partnerID=40&md5=9520bdcd66a876dd939fe90a32a7327c,"This article presents a framework for analyzing the dynamic effects of anticipated large demand pressures on asset risk premia. We show that large institutions who can time their entry into the market will trade either at the open, or during periods of unusual demand pressures. We show that if these institutions do enter later in the day, they trade in the same direction as institutions which provide liquidity continuously; institutions therefore appear to exhibit “herding” behavior. We also explore how changing the uncertainty of demand pressures late in the day affects trading costs throughout the day. 1995 The American Finance Association",,
