"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152764774&doi=10.5194%2fwes-8-465-2023&partnerID=40&md5=fdbe94531083ee1489f42ace96ffb605","","Aerodynamic loads; Fixed platforms; Ground supports; Numerical models; Offshore oil well production; Offshore wind turbines; Turbine components; Turbomachine blades; Wind tunnels; Wind turbine blades; Aerodynamic loading; Blade pitch; Dynamic inflow; Floating support; Rotor loads; Rotor speed; Speed variations; Support structures; Wind conditions; Wind turbine rotors; Angle of attack"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148851577&doi=10.5194%2fwes-8-141-2023&partnerID=40&md5=d425a7e471a1bd333be8fe1c186ccec7","","Electric utilities; Wind power; Wind turbines; Design optimization; Flow prediction; Momentum conserving; Prediction-based; Super-Gaussian; Superposition method; Velocity deficits; Wake model; Wind farm; Wind turbines wakes; Wakes"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164213175&doi=10.5194%2fwes-8-1017-2023&partnerID=40&md5=d215404a12893ffe9c28ad166d138d54","","Actuator disks; Boundary element method; Turbomachine blades; Actuator disc; Blade-element momentums; Body forces; Disk model; Force modeling; Load modeling; Root effect; Rotor discs; Thrust coefficients; Tip speed ratio; Wind turbines"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159353137&doi=10.5194%2fwes-8-661-2023&partnerID=40&md5=8665f553e357a645a0e05218f87856c4","","Aerodynamics; Numerical methods; Wakes; Floating wind turbines; Free wake; Numerical results; Panel methods; Surge motions; Sway motion; Unsteady aerodynamics; Wind turbine rotors; Wind turbines wakes; Yaw motions; Wind turbines"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149394350&doi=10.1002%2fwe.2812&partnerID=40&md5=3cdb6574e4868c62ab5bd75d88c56a46","aerodynamics; CFD; computational fluid dynamics; MRF; NREL offshore 5-MW baseline turbine; pitch angle; power loss; RANS","Interpolation; Mesh generation; Offshore oil well production; Shear stress; Turbine components; Turbomachine blades; Turbulence models; Wind speed; Wind turbine blades; Aero-dynamic performance; MRF; National Renewable Energy Laboratory; National renewable energy laboratory offshore 5-MW baseline turbine; Offshores; Pitch angle; Power; Powerloss; RANS; Wind speed; aerodynamics; alternative energy; computational fluid dynamics; numerical model; optimization; prediction; wind turbine; wind velocity; Computational fluid dynamics"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150525137&doi=10.1002%2fwe.2810&partnerID=40&md5=f532faba47d8ea28300ecf1f7c13eeeb","coating; erosion; leading edge; non-destructive testing; optical coherence tomography","Drops; Environmental impact; Erosion; Infrared devices; Optical tomography; Protective coatings; Turbine components; Turbomachine blades; Wind power; Wind turbine blades; Contact less; Critical issues; Defect detection; Leading edge; Maintenance downtime; Midinfrared; Non destructive; Non destructive testing; Wind energy production; Wind turbine blades; coating; composite; erosion; nondestructive testing; quality control; tomography; wind turbine; Nondestructive examination"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165355076&doi=10.1002%2fwe.2853&partnerID=40&md5=8282665d74820a47e5e4088affe9123c","causality-free modeling; control co-design; model-based; wind turbine","Controllers; Hierarchical systems; Simulation platform; Causality-free modeling; Co-designs; Control co-design; Free model; Model-based OPC; Multiphysics model; Reconfigurable; Test case; Wind turbine modeling; Wind turbine simulation; architecture; simulation; wind power; wind turbine; Wind turbines"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159265181&doi=10.5194%2fwes-8-621-2023&partnerID=40&md5=d3d8f7beba96fa9311ddd38fabd19720","","Learning algorithms; Machine learning; Meteorological instruments; Oceanography; Offshore oil well production; Satellites; Surface waters; Wind power; Wind speed; Advanced scatterometers; Hub height; Machine learning models; Machine learning techniques; Ocean surface winds; Offshores; Satellite winds; Training process; Vertical wind; Wind speed; Extrapolation"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152925066&doi=10.5194%2fwes-8-449-2023&partnerID=40&md5=ec9b8b829014f8da3f885dbe9022b9bf","","Large eddy simulation; Reynolds number; Shear flow; Shear stress; Viscosity; Wind turbines; Down-stream; Driving forces; Eddy viscosity; Inflow profile; Large-eddy simulations; Simulation data; Turbulent Reynold stress; Wake model; Wake region; Wind turbines wakes; Wakes"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144113672&doi=10.1002%2fwe.2799&partnerID=40&md5=2ec130cfec7094ab46df8b954b4b0bf6","extremum seeking control; log-of-power feedback; model-free wind farm power maximization; wake steering; wind tunnel experiment; yaw control","Feedback; Sensitivity analysis; Two term control systems; Wind; Wind power; Wind tunnels; Extremum seeking control; Log-of-power feedback; Model free; Model-free wind farm power maximization; Power; Power feedback; Wake steering; Wind farm; Wind tunnel experiment; Yaw control; control system; experimental study; wind farm; wind power; wind tunnel; wind velocity; Wakes"
