Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;21100922606;"Lancet Digital Health, The";journal;"25897500";7,277;Q1;66;133;394;3587;5304;193;13,67;26,97;43,73;0;55;United Kingdom;Western Europe;"Elsevier Ltd";"2019-2023";"Decision Sciences (miscellaneous) (Q1); Health Informatics (Q1); Health Information Management (Q1); Medicine (miscellaneous) (Q1)";"Decision Sciences; Health Professions; Medicine"
2;24721;"Annals of Mathematics";journal;"0003486X";7,154;Q1;137;32;98;1423;588;98;5,64;44,47;11,25;0;0;United States;Northern America;"Department of Mathematics at Princeton University";"1996-2023";"Mathematics (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
3;22330;"Organizational Research Methods";journal;"15527425, 10944281";6,712;Q1;138;48;90;4280;1195;87;13,80;89,17;30,08;1;2;United States;Northern America;"SAGE Publications Inc.";"1998-2023";"Decision Sciences (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences"
4;15631;"International Journal of Information Management";journal;"02684012";5,775;Q1;177;95;464;9818;13119;450;24,28;103,35;28,01;3;17;United Kingdom;Western Europe;"Elsevier Ltd";"1970, 1986-2024";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1); Marketing (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
5;21789;"Manufacturing and Service Operations Management";journal;"15265498, 15234614";5,466;Q1;110;167;362;7813;2582;359;5,36;46,78;27,79;3;50;United States;Northern America;"INFORMS Institute for Operations Research and the Management Sciences";"1999-2023";"Management Science and Operations Research (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences"
6;21307;"Management Science";journal;"00251909, 15265501";5,438;Q1;290;388;1125;21282;7257;1118;5,57;54,85;23,40;46;104;United States;Northern America;"INFORMS Institute for Operations Research and the Management Sciences";"1969-2023";"Management Science and Operations Research (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences"
7;13649;"Annals of Statistics";journal;"00905364";5,335;Q1;192;97;446;5170;2128;442;3,72;53,30;21,15;0;1;United States;Northern America;"Institute of Mathematical Statistics";"1996-2023";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
8;13531;"Journal of the Royal Statistical Society. Series B: Statistical Methodology";journal;"14679868, 13697412";4,330;Q1;151;87;195;2544;1078;169;2,56;29,24;23,29;0;5;United Kingdom;Western Europe;"Oxford University Press";"1997-2023";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
9;15574;"Information Systems Research";journal;"15265536, 10477047";4,176;Q1;185;89;218;6841;1687;216;6,45;76,87;26,42;0;16;United States;Northern America;"INFORMS Institute for Operations Research and the Management Sciences";"1990-2023";"Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
10;12402;"MIS Quarterly: Management Information Systems";journal;"02767783, 21629730";4,105;Q1;271;60;207;4991;2019;205;7,27;83,18;28,14;0;16;United States;Northern America;"Management Information Systems Research Center";"1980-2021";"Computer Science Applications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences"
