Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;29431;"Quarterly Journal of Economics";journal;"00335533, 15314650";30,448;Q1;306;47;136;3645;2240;136;11,14;77,55;26,67;35;22;United Kingdom;Western Europe;"Oxford University Press";"1886-2023";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
2;22697;"American Economic Review";journal;"19447981, 00028282";22,344;Q1;359;95;353;6242;4811;351;10,33;65,71;23,89;46;46;United States;Northern America;"American Economic Association";"1973-1975, 1978-2023";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
3;17500;"Journal of Finance";journal;"00221082, 15406261";19,139;Q1;352;83;227;5043;1938;221;7,00;60,76;16,91;19;19;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1946-2023";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
4;24404;"Journal of Political Economy";journal;"00223808, 1537534X";18,530;Q1;215;83;261;4493;2531;258;7,04;54,13;17,80;37;28;United States;Northern America;"University of Chicago";"1969, 1973-1974, 1979-1985, 1987-2023";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
5;19482;"Econometrica";journal;"00129682, 14680262";17,701;Q1;223;75;273;3371;1946;268;6,24;44,95;13,84;0;29;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1974, 1977-1984, 1990-1991, 1994-2023";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
6;16161;"Review of Financial Studies";journal;"14657368, 08939454";17,654;Q1;234;108;410;6448;4495;409;8,04;59,70;16,43;30;36;United Kingdom;Western Europe;"Oxford University Press";"1996-2023";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
7;24379;"Journal of Financial Economics";journal;"0304405X";13,655;Q1;311;89;563;4857;6315;559;11,14;54,57;23,11;12;29;Netherlands;Western Europe;"Elsevier B.V.";"1974-2023";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
8;24202;"Review of Economic Studies";journal;"00346527, 1467937X";13,609;Q1;165;93;250;5332;1699;250;6,02;57,33;15,88;55;46;United Kingdom;Western Europe;"Oxford University Press";"1933-1974, 1976-2023";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
9;19900191885;"American Economic Journal: Macroeconomics";journal;"19457707, 19457715";12,324;Q1;81;55;137;2838;862;137;6,20;51,60;17,36;26;35;United States;Northern America;"American Economic Association";"2009-2023";"Economics, Econometrics and Finance (miscellaneous) (Q1)";"Economics, Econometrics and Finance"
10;17700155014;"Handbook of Econometrics";book series;"15734412";12,192;Q1;24;0;6;0;40;6;0,00;0,00;0,00;0;0;Netherlands;Western Europe;"Elsevier B.V.";"1983-1984, 1986, 1994, 2001, 2007, 2020";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
